,eval_id,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,obj_fn_1,obj_fn_2,nln_ineq_con_1
,1.03E+002,9.56E-002,5.35E-001,3.58E-001,3.72E-001,7.66E-001,6.75E-001,3.54E-001,3.99E-001,2.64E-001,9.36E+000,2.53E+001,-11.62220398,54.3289,233.393,767.539
,1.04E+002,1.19E-001,4.86E-001,9.61E-002,8.58E-001,1.31E-002,4.90E-001,2.33E-001,2.39E-001,2.32E-001,5.00E+000,3.50E+001,-6.942574741,38.0767,103.681,325.523
,1.05E+002,1.19E-001,5.98E-001,2.52E-001,5.65E-001,9.34E-001,5.35E-001,2.33E-001,3.50E-001,3.44E-001,8.80E+000,3.20E+001,-7.598683607,43.3926,196.925,559.036
,1.06E+002,1.19E-001,7.24E-001,6.53E-001,8.58E-001,9.34E-001,4.90E-001,2.33E-001,3.50E-001,3.44E-001,8.80E+000,3.50E+001,-7.598683607,48.921,298.736,713.931
,1.07E+002,1.83E-001,4.64E-001,4.34E-001,3.81E-001,4.50E-001,6.05E-001,2.92E-001,2.62E-001,1.80E-001,3.78E-002,2.33E+001,4.201482581,43.7444,110.292,532.076
,1.08E+002,1.83E-001,5.83E-001,2.45E-001,3.81E-001,1.80E-001,6.05E-001,3.23E-001,2.62E-001,2.00E-001,3.78E-002,2.33E+001,1.340844238,48.1414,110.44,572.847
,1.09E+002,1.90E-001,7.72E-001,2.29E-001,4.71E-001,9.01E-001,3.11E-001,3.28E-001,2.77E-001,1.82E-001,6.98E+000,1.75E+001,0.1789842896,55.4144,199.298,959.016
,1.10E+002,1.92E-001,3.01E-001,4.51E-001,5.72E-001,7.24E-001,7.82E-001,2.63E-001,2.84E-001,1.69E-001,5.28E+000,2.01E+001,-5.260414411,40.2647,95.9371,436.582
,1.11E+002,1.92E-001,7.80E-001,6.66E-001,5.72E-001,3.83E-001,3.55E-001,2.63E-001,2.84E-001,1.69E-001,5.28E+000,2.01E+001,-5.260414411,53.4691,170.28,764.476
,1.12E+002,2.20E-001,4.05E-001,6.47E-001,2.07E-001,4.94E-003,4.33E-001,3.52E-001,2.94E-001,1.86E-001,8.71E+000,1.56E+001,1.094106406,47.9598,111.614,512.562
,1.13E+002,2.31E-001,9.86E-002,1.17E-001,7.45E-001,7.99E-001,7.41E-002,2.54E-001,2.32E-001,3.80E-001,3.92E+000,3.39E+001,4.639467196,38.569,46.6117,192.412
,1.14E+002,2.31E-001,1.18E-001,1.17E-001,7.45E-001,7.99E-001,4.06E-001,2.54E-001,2.32E-001,3.42E-001,3.92E+000,3.39E+001,4.639467196,37.9375,54.2125,206.669
,1.15E+002,2.31E-001,3.43E-001,5.13E-001,6.30E-001,2.32E-001,4.06E-001,2.54E-001,2.37E-001,3.80E-001,8.52E+000,8.03E-001,-6.388046449,46.4778,29.763,448.881
,1.16E+002,2.31E-001,3.43E-001,7.70E-001,9.32E-001,7.99E-001,2.63E-001,2.54E-001,3.43E-001,3.80E-001,8.52E+000,8.03E-001,-6.388046449,52.9145,43.9498,625.906
,1.17E+002,2.70E-001,1.30E-001,2.25E-001,1.73E-001,9.35E-001,3.48E-001,2.14E-001,3.99E-001,1.35E-001,2.96E+000,1.63E+001,-4.056307203,36.7591,23.1518,225.922
,1.18E+002,2.82E-001,1.32E-001,5.98E-001,4.65E-002,4.98E-001,5.17E-001,3.61E-001,2.54E-001,1.97E-001,8.83E+000,2.27E+000,-7.169055879,45.5737,27.5379,324.177
,1.19E+002,2.82E-001,3.59E-001,1.70E-001,9.89E-001,4.98E-001,5.17E-001,3.61E-001,2.74E-001,1.89E-001,8.83E+000,2.18E+001,-7.169055879,45.2978,127.875,519.608
,1.21E+002,3.00E-001,5.86E-001,4.50E-001,6.42E-001,7.41E-001,2.76E-001,3.57E-001,3.68E-001,3.44E-001,6.51E+000,1.77E+001,-8.272235549,60.4659,188.33,954.84
,1.22E+002,3.00E-001,5.86E-001,5.84E-001,6.42E-001,1.75E-001,4.26E-001,3.57E-001,3.68E-001,2.93E-001,6.51E+000,1.77E+001,3.076569512,58.4994,164.125,790.143
,1.23E+002,3.09E-001,2.29E-001,6.08E-001,1.99E-001,7.27E-001,8.20E-001,3.92E-001,2.68E-001,3.49E-001,2.07E+000,1.02E+001,-1.257816696,54.907,69.5378,582.422
,1.24E+002,3.16E-001,6.10E-001,1.60E-001,4.00E-002,4.73E-001,9.62E-001,3.87E-001,3.24E-001,1.71E-001,2.49E+000,1.92E+001,-9.985916342,56.7926,131.626,813.949
,1.25E+002,3.17E-001,2.04E-001,9.78E-002,5.41E-001,1.54E-001,5.12E-001,3.53E-001,2.10E-001,2.75E-001,3.26E+000,3.77E+001,1.114941619,41.4985,73.4072,269.819
,1.26E+002,3.17E-001,2.04E-001,5.78E-001,5.41E-001,1.54E-001,5.12E-001,2.09E-001,2.10E-001,2.75E-001,3.26E+000,4.23E+000,1.114941619,41.1145,21.886,337.195
,1.27E+002,3.27E-001,2.08E-001,2.52E-001,3.94E-001,1.23E-001,3.55E-001,3.81E-001,2.84E-001,3.48E-001,4.90E-001,2.01E+001,-5.260414411,48.0423,51.56,364.926
,1.28E+002,3.27E-001,3.01E-001,6.66E-001,3.94E-001,7.24E-001,3.55E-001,3.81E-001,2.82E-001,3.48E-001,8.69E+000,2.01E+001,-2.497091222,53.9293,167.733,643.485
,1.29E+002,3.41E-001,4.67E-001,7.67E-001,4.27E-001,6.27E-001,1.62E-001,3.33E-001,2.41E-001,3.03E-001,3.32E+000,3.39E+001,-1.044424989,51.751,235.01,699.088
,1.30E+002,3.69E-001,6.91E-001,2.39E-001,6.23E-001,5.07E-001,3.11E-001,2.44E-001,2.09E-001,1.82E-001,3.35E+000,2.77E+001,-9.033127173,43.3955,155.03,659.441
,1.31E+002,3.89E-001,4.71E-001,4.34E-001,1.05E-001,1.80E-001,6.05E-001,2.62E-001,3.64E-001,1.80E-001,2.10E+000,2.33E+001,1.340844238,43.9817,100.388,519.231
,1.32E+002,3.89E-001,4.71E-001,4.34E-001,1.05E-001,1.80E-001,6.05E-001,3.23E-001,3.14E-001,1.80E-001,2.10E+000,1.27E+001,1.340844238,48.1325,66.8801,576.664
,1.33E+002,3.89E-001,4.71E-001,7.45E-001,1.05E-001,9.04E-001,2.06E-001,3.54E-001,2.06E-001,2.01E-001,4.83E+000,1.27E+001,-14.04645866,50.4738,111.284,753.981
,1.34E+002,4.26E-001,5.95E-001,1.66E-001,3.39E-001,2.49E-001,3.70E-002,2.91E-001,2.72E-001,2.87E-001,1.42E+000,1.13E+001,-2.315791243,51.2824,54.4609,630.56
