dv1,dv2,of1,of2,nlc
1.5674793402,6.3361500047,32.1422154184,39.8610818076,16.3026317694
1.5699775431,4.2881416084,22.5230633855,30.2665535907,11.0683941810
1.5699775431,8.4769037685,42.5210647587,50.2645549639,21.8802737673
1.5760928353,12.5609927404,62.6827107344,70.4866424795,32.6750433318
1.5764462629,8.1358013061,41.0424189574,48.8498510472,21.1732387310
1.5821706092,13.9418714465,69.7433702965,77.6076055755,36.5473857618
1.5925245786,10.1793346881,51.5473355553,59.5148371742,27.0346218687
1.6002966099,5.7062873550,29.7950477827,37.8405070997,15.3032342553
1.6072158802,0.9898127154,9.5306869242,17.6458696370,2.6775036791
1.6072158802,15.6558093129,79.4650460687,87.5802287815,42.3499176970
1.6397886591,6.1039927630,32.5599166889,41.0073666843,17.1877245460
1.6407059932,9.2841293892,48.5959078290,57.0528118495,26.1716637195
1.6407059932,17.3156739945,89.6521894556,98.1090934761,48.8123310072
1.6426082801,3.2741853051,18.9031890955,27.3797148933,9.2512387353
1.6494769238,11.3781617728,59.5778019804,68.1253659748,32.4185219638
1.6531455338,10.7041517416,56.2511915234,64.8368191606,30.6339536749
1.6579488300,5.4471627741,29.6571916075,38.2927836587,15.6798251845
1.6579488300,11.6613794079,61.3502677606,69.9858598117,33.5676384400
1.6612924876,12.1364818104,63.9322344078,72.6026931310,35.0762881941
1.6623624375,10.8018164760,57.0762424476,65.7578731279,31.2591271069
1.6741303875,19.5718034075,103.3125354170,112.1175165870,57.4431201579
1.6771973305,12.1364818104,64.5557261456,73.3929976457,35.7511282716
1.6827571540,18.9601577441,100.6275791090,109.5235379280,56.2229274984
1.6835845735,5.8571763364,32.2337951072,41.1385044463,17.3854842745
1.6854735053,11.2384366390,60.1738372852,69.0985394709,33.4332333450
1.7000008336,9.1209677836,49.5513308194,58.6305424921,27.6037323889
1.7002468285,5.6291960206,31.4098669011,40.4917063387,17.0411514739
1.7038693101,15.3390877300,82.6130448707,91.7336243808,46.6337897513
1.7194381085,5.5319055102,31.2922896344,40.5803059268,17.1268095024
1.7198685937,5.0276313280,28.7103987981,38.0030664407,15.5733689868
1.7282494585,8.7968033314,48.6748805070,58.0583345571,27.5147999493
1.7330718747,2.5657725719,16.8578283495,26.2937216512,8.0701187415
1.7330718747,12.1364818104,66.7486760637,76.1845693653,38.1728491401
1.7345283142,8.1984336899,45.6636536308,55.1154130745,25.8298743505
1.7345283142,14.8352952650,81.3908848931,90.8426443368,46.7398807069
1.7359588303,4.8341298312,28.0121311101,37.4794872665,15.2554762728
1.7379387337,5.2885053145,30.3938804344,39.8828444063,16.7274787983
1.7400432619,11.4810779558,63.4781064631,72.9900653582,36.4025138623
1.7436226186,9.3398394479,52.0452229564,61.5963552589,29.7353474169
1.7446188078,10.1868535346,56.6458276954,66.2078768702,32.4690648117
1.7446188078,13.3314794550,73.6912717169,83.2533208918,42.4920873742
1.7617507613,0.4512425142,10.0655324422,19.8163001051,1.4666536384
1.7617507613,8.9940621466,50.7254630767,60.4762307395,29.2330034457
1.7809740183,11.0104020457,62.4049559450,72.3696745776,36.5718528058
1.7809740183,17.1695527235,96.5807072507,106.5454258830,57.0299206459
1.7862683776,3.2957109172,21.0364688395,31.0605204170,11.0121254063
1.7862683776,4.0379908979,24.7782559829,34.8023075604,13.4923430100
1.7995031838,4.3150687052,26.4306593486,36.6038014632,14.6326023905
1.8036224841,16.3575852552,93.2478455359,103.4676162890,55.7235904603
1.8116555139,6.2329899549,36.9430602248,47.2540679670,21.4228025607
1.8138903714,15.1912680153,87.1824324973,97.5188952407,52.3413252884
1.8250754670,14.1926106038,82.0454351853,92.5097676015,49.5053984039
1.8253529686,8.1179829725,47.7150149376,58.1825297855,28.3250357664
1.8260843734,6.1618040345,36.8687510426,47.3446560761,21.5168246335
1.8292671870,11.3605267049,66.1277548374,76.6402101099,39.8090096190
1.8292671870,19.8037268220,114.2927876950,124.8052429680,69.3952641486
1.8385071269,16.6703589618,96.8691236685,107.4880475620,59.0070910287
1.8446977445,6.2164188857,37.5786719047,48.2692282346,22.1523254227
1.8479995345,0.7815301981,11.6488425629,22.3777027955,2.7949760876
1.8558783512,12.1245566439,71.5145251965,82.3350639354,43.7314116191
1.8565239673,10.7041517416,63.3633954287,74.1914638950,38.6350959770
1.8575404593,10.9883662737,65.0338699896,75.8737989636,39.7043699824
1.8616406535,6.5203515843,39.6582432601,50.5460795267,23.6641734835
1.8662623185,12.3694440221,73.3432948999,84.2852580391,45.1153335142
1.8683442575,8.7968033314,52.7852361457,63.7516258688,32.1563912166
1.8750971285,4.4940692673,28.6855820905,39.7313880612,16.5468723817
1.8750971285,7.4991163833,45.5357546643,56.5815606349,27.6112615069
1.8750971285,13.2535892880,78.8516296464,89.8974356171,48.7988585633
1.8863824903,10.5822824829,63.7018015638,74.8809670699,39.4336957696
1.8863824903,19.5718034075,116.5248028630,127.7039683690,72.9321431819
1.8992455499,14.9685616768,90.0283101870,101.3604547900,56.5419684723
1.9031096305,4.7170028019,30.4108242690,41.7891270582,17.8904953793
1.9148017987,2.5924814411,19.3877615587,30.9063039839,9.9538691555
1.9148017987,8.7812565122,54.0651455087,65.5836879340,33.7157585608
1.9289453290,12.4836661632,76.5482998074,88.2376322592,48.6419079995
1.9338697763,18.6177053017,113.7191528320,125.4682453790,72.9137142052
1.9371094471,4.7438905224,31.1835587611,42.9720490743,18.6411024900
1.9414494429,13.3314794550,82.1696365791,94.0110090992,52.6210048239
1.9414494429,18.3794414058,112.7243615030,124.5657340230,72.5459374662
1.9415235761,11.1575370241,69.0777855306,80.9200623818,44.0435474722
1.9429803602,6.7763204718,43.0297590880,54.8898138461,26.7891772845
1.9429803602,16.0557278972,98.7200239416,110.5800787000,63.4739373473
1.9629349010,5.8714752206,38.1777279700,50.2826408010,23.6912319117
1.9638771154,19.4472267383,120.5938341310,132.7103705370,78.5443435898
1.9656596715,9.2033768209,58.1154526050,70.2539946726,37.2385255678
1.9791453341,8.9210881614,56.8169814983,69.1226509842,36.5933207894
1.9796236334,0.3284930719,12.4799680186,24.7915860366,1.3480937408
1.9811766557,4.9921337259,33.4286884478,45.7596310656,20.5192381715
1.9817226250,16.2214717531,101.7419139310,114.0796537650,66.7120994041
1.9899631720,1.2434163602,14.6694726224,27.1100332138,5.1562655233
1.9987655627,5.4423402555,36.4059758412,48.9568388457,22.7686889901
1.9998074146,11.3781617728,72.5799271246,85.1438777559,47.6515542630
2.0178739177,10.6340998833,68.6160910696,81.4080756247,45.3437471549
2.0235550087,2.2122245199,19.0595931227,31.9237077826,9.4861032925
2.0235550087,18.4955950540,118.2815509380,131.1456655980,79.3098184928
2.0387791712,5.1855379926,35.6882997865,48.7467082411,22.5716243881
2.0460767448,10.2222914203,67.0115938230,80.1636516993,44.8147227960
2.0580863217,9.9782052031,65.8738065301,79.1807111897,44.2596751035
2.0624906766,0.2842817550,13.4902681831,26.8541879843,1.2663728583
2.0686087441,7.5747900492,51.0291068615,64.4724283602,33.9434459719
2.0686087441,15.8720124214,104.0202094950,117.4635309940,71.1241886041
2.0704802601,0.1040523407,13.4846535557,26.9523109975,0.4671137600
2.0717535923,0.5147165621,13.8941526543,27.3783802368,2.3135184214
2.0896054302,8.2337124032,55.7652739285,69.4828838532,37.6489516599
2.0896054302,15.0042228564,99.4486812654,113.1662911900,68.6073587891
2.0938799773,15.2830542509,101.4728971710,115.2466866440,70.1685239156
2.1075503585,4.7168994344,34.2065688626,48.1607961932,21.9402290013
2.1075503585,16.4724360949,109.9541221600,123.9083494910,76.6200393192
